candidate_id,outer_fold,trial_id,state,inner_macro_f1,config,failure_reason,parameter_count
B-L0,0,0,COMPLETE,0.26103835488564914,"{""C"": 0.1}",,
B-L0,0,1,COMPLETE,0.633548575294682,"{""C"": 1.0}",,
B-L0,0,2,COMPLETE,0.8305711232506076,"{""C"": 10.0}",,
B-L0,1,0,COMPLETE,0.26103835488564914,"{""C"": 0.1}",,
B-L0,1,1,COMPLETE,0.6546033392894578,"{""C"": 1.0}",,
B-L0,1,2,COMPLETE,0.8431513171149271,"{""C"": 10.0}",,
B-L0,2,0,COMPLETE,0.26103835488564914,"{""C"": 0.1}",,
B-L0,2,1,COMPLETE,0.6328549058434115,"{""C"": 1.0}",,
B-L0,2,2,COMPLETE,0.8303038672611981,"{""C"": 10.0}",,
B-L0,3,0,COMPLETE,0.2744761776517621,"{""C"": 0.1}",,
B-L0,3,1,COMPLETE,0.6693628768389526,"{""C"": 1.0}",,
B-L0,3,2,COMPLETE,0.8551409387991294,"{""C"": 10.0}",,
B-L0,4,0,COMPLETE,0.2612079818158395,"{""C"": 0.1}",,
B-L0,4,1,COMPLETE,0.6575558971026808,"{""C"": 1.0}",,
B-L0,4,2,COMPLETE,0.8294907935279615,"{""C"": 10.0}",,
B-RF0,0,0,COMPLETE,0.8382977445407461,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",,
B-RF0,0,1,COMPLETE,0.8407579579399306,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
B-RF0,0,2,COMPLETE,0.8382977445407461,"{""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",,
B-RF0,0,3,COMPLETE,0.8407579579399306,"{""max_depth"": 5, ""max_features"": null, ""min_samples_leaf"": 2, ""n_estimators"": 200}",,
B-RF0,0,4,COMPLETE,0.8435627993272677,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 300}",,
B-RF0,0,5,COMPLETE,0.8491295321951298,"{""max_depth"": 8, ""max_features"": null, ""min_samples_leaf"": 4, ""n_estimators"": 100}",,
B-RF0,1,0,COMPLETE,0.8437693565001396,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",,
