component,file,entrypoint,current_role,data_inputs,model_dependency,status,recommended_action,evidence
Scientific system,configs/recommend_hybrid/model_authority.yaml,RECOMMEND_HYBRID_MODEL_AUTHORITY,official frozen authority,"embeddings; probabilities; uncertainty; observed state",FROZEN_HYBRID_CNN_BILSTM,RELEASE_FROZEN,KEEP,"formal system name and components locked"
Canonical checkpoint manifest,artifacts/recommend_hybrid/RECOMMEND_HYBRID_CHECKPOINT_MANIFEST.json,scripts/recommend_hybrid/validate_phase1_authority.py,30-file authority inventory,"checkpoint metadata and bytes",HYBRID_CNN_BILSTM_RECOMMENDER,COMPLETE_MULTI_STAGE_CHECKPOINT_SET,KEEP,"15 shared intervention plus 15 evaluation checkpoint files"
RecommendationService,src/database/services/recommendation_service.py,RecommendationService.recommend,retrieve stored legacy plan,"source_record_id; prediction_stage",stored lineage only,RETRIEVE_ONLY,KEEP,"no active generator"
RecommendationRepository,src/database/repositories/recommendation_repository.py,RecommendationRepository.plan_for_record,SQL retrieval,"source_record_id; prediction_stage",stored lineage only,ACTIVE,KEEP,"plan summary retrieval"
RiskProfile contract,src/recommendation/risk_profile.py,RiskProfile,thin legacy contract,"record_id; probability; risk_label",probability only,INCOMPLETE,REFACTOR,"missing embeddings uncertainty and full lineage"
ObservedState contract,src/recommendation/observed_state.py,ObservedState,thin legacy contract,"cutoff; evidence",none,INCOMPLETE,REFACTOR,"missing typed mask and lineage validation"
Current generator,src/recommendation/,MISSING,no generator on current branch,MISSING,MISSING,MISSING,MISSING,"Phase 1 does not restore historical generators"
Historical rule generator,artifacts/final/recommendation/recommendation_technical_validation.json,MISSING,reference-only policy evidence,"legacy risk profile; observed state",historical predictor,REFERENCE_ONLY,REPLACE,"rules do not use frozen embeddings"
Persisted plan payload,artifacts/final/database/persisted_recommendation_plans.jsonl,RecommendationService.recommend,legacy database evidence,"stored plans and actions",historical predictor,LEGACY_EVIDENCE_ONLY,KEEP,"retain for migration evidence only"
Legacy independent neural recommender,source_commit:aebdd84,MISSING,weak-label independent predictor,"hand-built features; weak targets",separate prediction model,REFERENCE_ONLY,REMOVE,"prohibited by frozen-backbone authority"
Action taxonomy,source_commit:177a87a,MISSING,historical candidate definitions,static catalog,none,REFERENCE_ONLY,REFACTOR,"catalog semantics may be reviewed; old selection policy is not authority"
Constraint guards,source_commit:d38f303,MISSING,historical workload duplicate and abstention guards,candidate actions,none,REFERENCE_ONLY,KEEP,"reuse safety semantics only"
Feature lineage,artifacts/final/recommendation/recommendation_feature_lineage.json,MISSING,historical cutoff-safe evidence lineage,"activity; inactivity; assessment; grade trend",historical predictor,REFERENCE_ONLY,KEEP,"reuse lineage principles"
Advisor review,src/database/services/recommendation_service.py,add_advisor_review,persist review,"plan; reviewer; status",none,ACTIVE,REFACTOR,"align later with four official review states"
Expert label tables,database/final/migrations/011_create_v6_2_expert_review_validation.sql,MISSING,empty historical label storage,review templates,none,SCHEMA_ONLY,REFACTOR,"zero real ratings"
HybridPredictionAdapter,MISSING,MISSING,not implemented,MISSING,FROZEN_HYBRID_CNN_BILSTM,MISSING,MISSING,"Phase 2 only"
HybridActionRanker,MISSING,MISSING,not implemented,MISSING,FROZEN_HYBRID_CNN_BILSTM,MISSING,MISSING,"Phase 3 only after real labels"
HybridConstraintSolver,MISSING,MISSING,not implemented,MISSING,HYBRID_ACTION_RANKER,MISSING,MISSING,"Phase 4 only"
HybridLearningPlanBuilder,MISSING,MISSING,not implemented,MISSING,HYBRID_ACTION_RANKER,MISSING,MISSING,"Phase 4 only"
