item,current_status,classification,action_required,evidence
Current branch and clean preflight,codex/final-repository-closure; clean before materialization,official,none,repository_state.json
Commit ancestry Phase A-B through D,all frozen commits are ancestors,official,none,commit_lineage.json
README,rewritten to Phase E/D scientific truth,official,none,readme_claim_audit.csv
PROJECT.md,technical contract aligned with README,official,none,project_claim_audit.csv
Phase A-B correctness,strict PASS and quarantine registry retained,official,none,artifacts\strategy_b_phase_ab\strategy-b-phase-ab-20260714-475a672\strict_validation.json
Phase C comparison,corrected main comparison strict PASS,official,none,artifacts\strategy_b_phase_c\strategy-b-phase-c-20260714-5d34a66\strict_validation.json
Phase E prediction freeze,R0/N0 roles and checksums PASS,official,none,artifacts\strategy_b_phase_e_prediction\strategy-b-phase-e-prediction-20260714-9007144\strict_validation.json
Phase D recommendation,technical PASS; expert PENDING; effectiveness NOT_PERFORMED,official,none,artifacts\strategy_b_phase_d_recommendation\strategy-b-phase-d-recommendation-20260715-407ac0f\strict_validation.json
Historical final/locked-test outputs,preserved; include observed-79 results,historical,exclude from headline,historical_evidence_registry.json
Fair deep-learning rows,resolved-config estimator mismatch,invalid,exclude from official ranking,Phase A-B evidence_quarantine_registry.json
Phase C smoke,runtime/code-path evidence only,smoke,exclude from ranking,historical_evidence_registry.json
Residual/Huber diagnostics,hypothesis/diagnostic only; gates closed,diagnostic,exclude from centerpiece,historical_evidence_registry.json
Old CNN-BiLSTM estimator outputs,predate corrected estimator/refit contract,deprecated,historical context only,historical_evidence_registry.json
scripts/run_pipeline.py,historical locked/observed experiment runner; prohibited by default unless explicit legacy flag,deprecated,do not use for quick validation,README How to run
scripts/optimize_model_selection.py and Phase C/E runners,expensive historical experiment entrypoints,deprecated,require explicit future authorization,README How to run
scripts/materialize_recommendation_policy.py,legacy materializer fail-closed,deprecated,retain fail-closed,source file
Hard-coded local paths,found only in integration-test fixtures and historical audit/provenance docs; active closure commands are repository-relative,historical,preserve provenance; do not copy into active instructions,hard-coded path scan
Temporary/cache files,ignored; local caches removed during closure,deprecated,keep ignored,.gitignore
Large tracked files,"5 files >=1 MiB, all CSV evidence",official/historical,preserve and index,large_file_report.csv
Secrets/DSNs,confirmed secrets=0,official,none,secret_scan_report.json
Internal documentation links,broken=0,official,none,broken_link_report.csv
Database migrations 001-004,static=PASS; execution=NOT_PERFORMED,official,execute destructive tests only on disposable DSN,database_static_validation.json
Final model files,R0 contract plus five N0 checkpoints/preprocessors present in Phase E bundle,official,none,artifacts\strategy_b_phase_e_prediction\strategy-b-phase-e-prediction-20260714-9007144\final_model_manifest.json
Terminology,"active README/PROJECT use development-only, governed, non-causal terms",official,historical documents remain registry-limited,prohibited_claim_scan.csv
