left_source,left_family,right_source,right_family,joint_vote_count,exact_agreement
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,0,
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,LF_STUDY_REGULARITY_V4,BEHAVIORAL,0,
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,LF_CONTENT_REVIEW_V4,BEHAVIORAL,0,
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,0,
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,116,0.0
LF_ASSESSMENT_NEED_V4,BEHAVIORAL,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,184,0.5271739130434783
LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,LF_STUDY_REGULARITY_V4,BEHAVIORAL,0,
LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,LF_CONTENT_REVIEW_V4,BEHAVIORAL,0,
LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,0,
LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,70,0.0
LF_ENGAGEMENT_RECOVERY_V4,BEHAVIORAL,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,229,0.6855895196506551
LF_STUDY_REGULARITY_V4,BEHAVIORAL,LF_CONTENT_REVIEW_V4,BEHAVIORAL,0,
LF_STUDY_REGULARITY_V4,BEHAVIORAL,LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,0,
LF_STUDY_REGULARITY_V4,BEHAVIORAL,LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,8,0.0
LF_STUDY_REGULARITY_V4,BEHAVIORAL,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,292,0.6643835616438356
LF_CONTENT_REVIEW_V4,BEHAVIORAL,LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,0,
LF_CONTENT_REVIEW_V4,BEHAVIORAL,LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,185,0.0
LF_CONTENT_REVIEW_V4,BEHAVIORAL,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,115,0.33043478260869563
LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,4,1.0
LF_QUIZ_RETRIEVAL_V4,BEHAVIORAL,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,296,0.39864864864864863
LF_FEASIBILITY_CONSTRAINT_V4,FEASIBILITY,REAL_EXTERNAL_GEMINI_REVIEW_V4,LLM_EXPERT,0,
