recommendation_instance_id,review_status,reasons,n0_r0_agreement
d8644aea7fcc180a383d1738,eligible_for_draft,[],True
bd254bea588e56b3cf978b2d,advisor_review_required,"[""n0_r0_disagreement"", ""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",False
6b85bd049ec136af69f33821,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
ccdb397908bdcff552e1ae3e,eligible_for_draft,[],True
6950eae49a1bff0873a81ccd,eligible_for_draft,[],True
d7f2fc9c4d61f2b584223338,eligible_for_draft,[],True
4ed040f46b6bb617a5c63928,eligible_for_draft,[],True
f4ec69205cd03474a20ae849,eligible_for_draft,[],True
0846b14ed9ecea61327b70e9,eligible_for_draft,[],True
4c4f1ba38bd24315b761c808,eligible_for_draft,[],True
49aeb9cf9a48383c2ac7d059,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
a3e6009a859834ee57b0b4ec,eligible_for_draft,[],True
7422aa164edcac2ba589e108,advisor_review_required,"[""n0_r0_disagreement"", ""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",False
bda34be5675c2f248331a8d4,eligible_for_draft,[],True
a1e01dc51aa189cda598f6aa,advisor_review_required,"[""n0_r0_disagreement"", ""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",False
dd66b9a9850c3d7fd84fe4e8,eligible_for_draft,[],True
33d81bc79f0342eaec01b031,advisor_review_required,"[""n0_r0_disagreement"", ""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",False
dcf35568d8e7847dbe41ebd7,eligible_for_draft,[],True
5fd37de84ede35d924b9288b,eligible_for_draft,[],True
d2ce9f55b9721c136ddd4ac9,advisor_review_required,"[""n0_r0_disagreement"", ""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",False
7592d121a271ec6c60ff5ed4,advisor_review_required,"[""model_score_low""]",True
b0871af43d66a8a088b94f4b,eligible_for_draft,[],True
35467b8b5f8ecea609159429,eligible_for_draft,[],True
64e287ac5e7190e07de88135,eligible_for_draft,[],True
63f6fc123d86b5d7b65c693b,eligible_for_draft,[],True
21fac501529502635c7a26bc,eligible_for_draft,[],True
da06f8b72909b9a7ee4fa9ff,advisor_review_required,"[""model_score_low"", ""entropy_high""]",True
7e5df9178c5d95ecb5f34f43,eligible_for_draft,[],True
528547e8221314519893e476,eligible_for_draft,[],True
0597e9c147362adb42d45f41,eligible_for_draft,[],True
c6e37cff19de9f84d8c79bdc,eligible_for_draft,[],True
3629913c1d6aa329338107b9,eligible_for_draft,[],True
eb1086924b137a3ec2d04b28,eligible_for_draft,[],True
008e8839b45cd59ce8f352d9,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
4b331ede511e5bbf05fbb99d,eligible_for_draft,[],True
425a5171c7ea74956d8edf65,eligible_for_draft,[],True
b75b5886c0db9c31ac9cc29b,eligible_for_draft,[],True
2797d6e85fde71ee4176ccf2,eligible_for_draft,[],True
f021fe0c49e3a38e0fe678f3,eligible_for_draft,[],True
f4fb13f55ea431389572eb2b,eligible_for_draft,[],True
438733a851ab7514da0249ec,eligible_for_draft,[],True
7bde2d9505d931d34b6c727b,eligible_for_draft,[],True
3f34b7b96457176b97aec108,eligible_for_draft,[],True
8be5fd53b0442b97610c5285,eligible_for_draft,[],True
d04f845cc63d8e20c4d0f246,eligible_for_draft,[],True
aaa03fbb58581adb259a49fa,eligible_for_draft,[],True
00906b547135d6d24ab9aa12,eligible_for_draft,[],True
e52418eae200a4788bb33dc7,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
713c39cb2b511f302823a04c,eligible_for_draft,[],True
0e67374830a1f2aef70de67f,eligible_for_draft,[],True
c5375527746712d50f8ab172,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
f384bc5d635a130a1cc28a34,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
9bb22233bcad044e5ba40122,eligible_for_draft,[],True
005515130c8a153ddeee265e,eligible_for_draft,[],True
566ddbf405555ea770f101d4,eligible_for_draft,[],True
da0ba421f6a3e3cdeafc84f2,advisor_review_required,"[""model_score_low"", ""entropy_high""]",True
7a6d28dd54059364592fa733,eligible_for_draft,[],True
9dbd4867042374367be39670,eligible_for_draft,[],True
2f16ecde46be7d95b63b167f,eligible_for_draft,[],True
cd52e488e27240781bbfa7cc,eligible_for_draft,[],True
fa92fb372f34900c02cf08c4,eligible_for_draft,[],True
33256e9db4a88ed50a101355,eligible_for_draft,[],True
a17d0f541492ed20f929f9a5,eligible_for_draft,[],True
e88d15bf7372c6372fd9c86b,eligible_for_draft,[],True
8fda407fa9dfb25cfc0b690e,eligible_for_draft,[],True
e11b97505f42cf0670f2b3b8,eligible_for_draft,[],True
3ec4a8dd07093b264cd73c1a,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
65cdd9b744c303ee32c8e5e7,eligible_for_draft,[],True
a44a291e64e4295d740bd6a3,advisor_review_required,"[""seed_disagreement_high"", ""model_score_low"", ""entropy_high""]",True
ed53d436bc52c346c602a251,eligible_for_draft,[],True
1f58ea5e0d27d0a65cf7d31c,eligible_for_draft,[],True
4a32753d43c9aacfa98a3b07,eligible_for_draft,[],True
