source_row_number,predicted_label,confidence,recommendation,expert_rating
1,0,0.99222773,"{""risk_band"": ""High"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Low"", ""risk_band=High"", ""confidence=0.9922"", ""confidence_level=high""], ""risk_factor_basis"": [""G1=5, G2=5"", ""famsup=yes, schoolsup=no""]}, ""weekly_plan"": [""Week 1: confirm risk evidence and start the highest-priority remediation action."", ""Week 2: review attendance/practice evidence and adjust the weakest-topic exercise set."", ""Week 3: add a timed practice task only if Week 2 evidence improves."", ""Week 4: compare progress evidence with the advisor and decide whether to continue support.""], ""priority_risks"": [{""code"": ""prior_grade_gap"", ""group"": ""previous grades"", ""reason"": ""Earlier period grades suggest content gaps or a downward trend before the final prediction."", ""evidence"": ""G1=5, G2=5"", ""priority"": 1}, {""code"": ""partial_support_gap"", ""group"": ""family/parent support"", ""reason"": ""One support channel is absent, so weekly check-ins should be explicit."", ""evidence"": ""famsup=yes, schoolsup=no"", ""priority"": 3}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Run a topic-level diagnostic, then complete targeted exercises for the two weakest topics."", ""reason"": ""Earlier grades/failures point to specific academic gaps rather than an unfocused workload increase."", ""duration"": ""45 minutes per session for 4 weeks"", ""frequency"": ""3 practice sessions per week"", ""risk_code"": ""prior_grade_gap""}, {""action"": ""Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""partial_support_gap""}]}",
2,0,0.9410313,"{""risk_band"": ""High"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Low"", ""risk_band=High"", ""confidence=0.9410"", ""confidence_level=high""], ""risk_factor_basis"": [""absences=10, absences_per_studytime=5.0"", ""failures=3"", ""G1=7, G2=8""]}, ""weekly_plan"": [""Week 1: confirm risk evidence and start the highest-priority remediation action."", ""Week 2: review attendance/practice evidence and adjust the weakest-topic exercise set."", ""Week 3: add a timed practice task only if Week 2 evidence improves."", ""Week 4: compare progress evidence with the advisor and decide whether to continue support.""], ""priority_risks"": [{""code"": ""attendance_absences"", ""group"": ""attendance/absences"", ""reason"": ""High absence load can make the student miss prerequisite practice and feedback."", ""evidence"": ""absences=10, absences_per_studytime=5.0"", ""priority"": 1}, {""code"": ""failure_history"", ""group"": ""failures"", ""reason"": ""Previous course failures indicate accumulated academic risk."", ""evidence"": ""failures=3"", ""priority"": 1}, {""code"": ""prior_grade_gap"", ""group"": ""previous grades"", ""reason"": ""Earlier period grades suggest content gaps or a downward trend before the final prediction."", ""evidence"": ""G1=7, G2=8"", ""priority"": 1}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Create a missed-lesson recovery checklist and confirm attendance with the advisor."", ""reason"": ""Absence-related risk needs fast recovery of missed content before adding new workload."", ""duration"": ""4 weeks"", ""frequency"": ""2 check-ins per week"", ""risk_code"": ""attendance_absences""}, {""action"": ""Run a topic-level diagnostic, then complete targeted exercises for the two weakest topics."", ""reason"": ""Earlier grades/failures point to specific academic gaps rather than an unfocused workload increase."", ""duration"": ""45 minutes per session for 4 weeks"", ""frequency"": ""3 practice sessions per week"", ""risk_code"": ""failure_history""}, {""action"": ""Run a topic-level diagnostic, then complete targeted exercises for the two weakest topics."", ""reason"": ""Earlier grades/failures point to specific academic gaps rather than an unfocused workload increase."", ""duration"": ""45 minutes per session for 4 weeks"", ""frequency"": ""3 practice sessions per week"", ""risk_code"": ""prior_grade_gap""}]}",
7,0,0.9911843,"{""risk_band"": ""High"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Low"", ""risk_band=High"", ""confidence=0.9912"", ""confidence_level=high""], ""risk_factor_basis"": [""G1=6, G2=5"", ""internet=no""]}, ""weekly_plan"": [""Week 1: confirm risk evidence and start the highest-priority remediation action."", ""Week 2: review attendance/practice evidence and adjust the weakest-topic exercise set."", ""Week 3: add a timed practice task only if Week 2 evidence improves."", ""Week 4: compare progress evidence with the advisor and decide whether to continue support.""], ""priority_risks"": [{""code"": ""prior_grade_gap"", ""group"": ""previous grades"", ""reason"": ""Earlier period grades suggest content gaps or a downward trend before the final prediction."", ""evidence"": ""G1=6, G2=5"", ""priority"": 1}, {""code"": ""limited_internet_access"", ""group"": ""internet/educational support"", ""reason"": ""Limited internet access can reduce access to online practice and learning materials."", ""evidence"": ""internet=no"", ""priority"": 2}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Run a topic-level diagnostic, then complete targeted exercises for the two weakest topics."", ""reason"": ""Earlier grades/failures point to specific academic gaps rather than an unfocused workload increase."", ""duration"": ""45 minutes per session for 4 weeks"", ""frequency"": ""3 practice sessions per week"", ""risk_code"": ""prior_grade_gap""}, {""action"": ""Prepare offline practice materials or reserve school computer-lab time."", ""reason"": ""The action directly addresses access to learning materials."", ""duration"": ""4 weeks"", ""frequency"": ""2 resource checks per week"", ""risk_code"": ""limited_internet_access""}]}",
9,2,0.52345735,"{""risk_band"": ""Low"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=High"", ""risk_band=Low"", ""confidence=0.5235"", ""confidence_level=low""], ""risk_factor_basis"": [""famsup=yes, schoolsup=no""]}, ""weekly_plan"": [""Week 1: maintain current study routine and check the most relevant risk signal."", ""Week 2: complete one enrichment or consolidation activity tied to prior grades."", ""Week 3: keep weekly evidence of attendance, practice and assessment preparation."", ""Week 4: review whether the student can continue with light monitoring only.""], ""priority_risks"": [{""code"": ""partial_support_gap"", ""group"": ""family/parent support"", ""reason"": ""One support channel is absent, so weekly check-ins should be explicit."", ""evidence"": ""famsup=yes, schoolsup=no"", ""priority"": 3}], ""confidence_level"": ""low"", ""recommended_actions"": [{""action"": ""Because model confidence is low, verify this with a teacher/advisor before applying: Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""partial_support_gap""}]}",
12,1,0.69163895,"{""risk_band"": ""Medium"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Medium"", ""risk_band=Medium"", ""confidence=0.6916"", ""confidence_level=medium""], ""risk_factor_basis"": [""studytime=1/4"", ""famsup=yes, schoolsup=no"", ""activities=yes with low studytime""]}, ""weekly_plan"": [""Week 1: verify the main risk factor and set one measurable weekly target."", ""Week 2: complete targeted practice and monitor whether the risk indicator changes."", ""Week 3: keep the effective action and remove actions that did not match the evidence."", ""Week 4: review progress and decide whether to reduce or intensify support.""], ""priority_risks"": [{""code"": ""low_study_time"", ""group"": ""study time"", ""reason"": ""The recorded weekly study-time band is the lowest category."", ""evidence"": ""studytime=1/4"", ""priority"": 2}, {""code"": ""partial_support_gap"", ""group"": ""family/parent support"", ""reason"": ""One support channel is absent, so weekly check-ins should be explicit."", ""evidence"": ""famsup=yes, schoolsup=no"", ""priority"": 3}, {""code"": ""workload_balance"", ""group"": ""extracurricular/workload"", ""reason"": ""Extracurricular workload may need scheduling around minimum study blocks."", ""evidence"": ""activities=yes with low studytime"", ""priority"": 3}], ""confidence_level"": ""medium"", ""recommended_actions"": [{""action"": ""Use this as a guided recommendation and monitor weekly evidence: Schedule fixed study blocks before the next class and log completed tasks."", ""reason"": ""The source study-time band is low, so the intervention defines measurable time blocks."", ""duration"": ""30-45 minutes per block for 4 weeks"", ""frequency"": ""4 days per week"", ""risk_code"": ""low_study_time""}, {""action"": ""Use this as a guided recommendation and monitor weekly evidence: Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""partial_support_gap""}, {""action"": ""Use this as a guided recommendation and monitor weekly evidence: Move one non-urgent activity away from assessment days and protect study blocks."", ""reason"": ""The issue is scheduling pressure, so the intervention changes the calendar rather than adding vague workload."", ""duration"": ""15 minutes per week for 4 weeks"", ""frequency"": ""weekly planning session"", ""risk_code"": ""workload_balance""}]}",
28,1,0.9045529,"{""risk_band"": ""Medium"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Medium"", ""risk_band=Medium"", ""confidence=0.9046"", ""confidence_level=high""], ""risk_factor_basis"": [""predicted_class=Medium""]}, ""weekly_plan"": [""Week 1: verify the main risk factor and set one measurable weekly target."", ""Week 2: complete targeted practice and monitor whether the risk indicator changes."", ""Week 3: keep the effective action and remove actions that did not match the evidence."", ""Week 4: review progress and decide whether to reduce or intensify support.""], ""priority_risks"": [{""code"": ""prediction_monitoring"", ""group"": ""prediction basis"", ""reason"": ""No specific source-feature risk crossed a rule threshold, so the recommendation focuses on monitoring the prediction band."", ""evidence"": ""predicted_class=Medium"", ""priority"": 4}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Review prediction evidence with the advisor."", ""reason"": ""No stronger feature-specific risk was detected, so the safest action is monitoring with evidence."", ""duration"": ""4 weeks"", ""frequency"": ""1 review per week"", ""risk_code"": ""prediction_monitoring""}]}",
30,1,0.8621748,"{""risk_band"": ""Medium"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Medium"", ""risk_band=Medium"", ""confidence=0.8622"", ""confidence_level=high""], ""risk_factor_basis"": [""famsup=yes, schoolsup=no""]}, ""weekly_plan"": [""Week 1: verify the main risk factor and set one measurable weekly target."", ""Week 2: complete targeted practice and monitor whether the risk indicator changes."", ""Week 3: keep the effective action and remove actions that did not match the evidence."", ""Week 4: review progress and decide whether to reduce or intensify support.""], ""priority_risks"": [{""code"": ""partial_support_gap"", ""group"": ""family/parent support"", ""reason"": ""One support channel is absent, so weekly check-ins should be explicit."", ""evidence"": ""famsup=yes, schoolsup=no"", ""priority"": 3}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""partial_support_gap""}]}",
53,1,0.53775215,"{""risk_band"": ""Medium"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Medium"", ""risk_band=Medium"", ""confidence=0.5378"", ""confidence_level=low""], ""risk_factor_basis"": [""studytime=1/4""]}, ""weekly_plan"": [""Week 1: verify the main risk factor and set one measurable weekly target."", ""Week 2: complete targeted practice and monitor whether the risk indicator changes."", ""Week 3: keep the effective action and remove actions that did not match the evidence."", ""Week 4: review progress and decide whether to reduce or intensify support.""], ""priority_risks"": [{""code"": ""low_study_time"", ""group"": ""study time"", ""reason"": ""The recorded weekly study-time band is the lowest category."", ""evidence"": ""studytime=1/4"", ""priority"": 2}], ""confidence_level"": ""low"", ""recommended_actions"": [{""action"": ""Because model confidence is low, verify this with a teacher/advisor before applying: Schedule fixed study blocks before the next class and log completed tasks."", ""reason"": ""The source study-time band is low, so the intervention defines measurable time blocks."", ""duration"": ""30-45 minutes per block for 4 weeks"", ""frequency"": ""4 days per week"", ""risk_code"": ""low_study_time""}]}",
54,1,0.955646,"{""risk_band"": ""Medium"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Medium"", ""risk_band=Medium"", ""confidence=0.9556"", ""confidence_level=high""], ""risk_factor_basis"": [""absences=6, absences_per_studytime=6.0"", ""studytime=1/4"", ""famsup=no, schoolsup=no""]}, ""weekly_plan"": [""Week 1: verify the main risk factor and set one measurable weekly target."", ""Week 2: complete targeted practice and monitor whether the risk indicator changes."", ""Week 3: keep the effective action and remove actions that did not match the evidence."", ""Week 4: review progress and decide whether to reduce or intensify support.""], ""priority_risks"": [{""code"": ""attendance_absences"", ""group"": ""attendance/absences"", ""reason"": ""High absence load can make the student miss prerequisite practice and feedback."", ""evidence"": ""absences=6, absences_per_studytime=6.0"", ""priority"": 1}, {""code"": ""low_study_time"", ""group"": ""study time"", ""reason"": ""The recorded weekly study-time band is the lowest category."", ""evidence"": ""studytime=1/4"", ""priority"": 2}, {""code"": ""support_gap"", ""group"": ""family/parent support"", ""reason"": ""The student has neither family educational support nor school support marked in the source record."", ""evidence"": ""famsup=no, schoolsup=no"", ""priority"": 2}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Create a missed-lesson recovery checklist and confirm attendance with the advisor."", ""reason"": ""Absence-related risk needs fast recovery of missed content before adding new workload."", ""duration"": ""4 weeks"", ""frequency"": ""2 check-ins per week"", ""risk_code"": ""attendance_absences""}, {""action"": ""Schedule fixed study blocks before the next class and log completed tasks."", ""reason"": ""The source study-time band is low, so the intervention defines measurable time blocks."", ""duration"": ""30-45 minutes per block for 4 weeks"", ""frequency"": ""4 days per week"", ""risk_code"": ""low_study_time""}, {""action"": ""Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""support_gap""}]}",
55,0,0.819214,"{""risk_band"": ""High"", ""disclaimer"": ""Advisory support only; a teacher or advisor must review before action."", ""explanation"": {""scope_note"": ""Rule-based advisory support; not evidence of causal improvement."", ""policy_version"": ""student_mat_rule_policy_v3"", ""prediction_basis"": [""predicted_class=Low"", ""risk_band=High"", ""confidence=0.8192"", ""confidence_level=high""], ""risk_factor_basis"": [""G1=8, G2=9"", ""famsup=no, schoolsup=no""]}, ""weekly_plan"": [""Week 1: confirm risk evidence and start the highest-priority remediation action."", ""Week 2: review attendance/practice evidence and adjust the weakest-topic exercise set."", ""Week 3: add a timed practice task only if Week 2 evidence improves."", ""Week 4: compare progress evidence with the advisor and decide whether to continue support.""], ""priority_risks"": [{""code"": ""prior_grade_gap"", ""group"": ""previous grades"", ""reason"": ""Earlier period grades suggest content gaps or a downward trend before the final prediction."", ""evidence"": ""G1=8, G2=9"", ""priority"": 1}, {""code"": ""support_gap"", ""group"": ""family/parent support"", ""reason"": ""The student has neither family educational support nor school support marked in the source record."", ""evidence"": ""famsup=no, schoolsup=no"", ""priority"": 2}], ""confidence_level"": ""high"", ""recommended_actions"": [{""action"": ""Run a topic-level diagnostic, then complete targeted exercises for the two weakest topics."", ""reason"": ""Earlier grades/failures point to specific academic gaps rather than an unfocused workload increase."", ""duration"": ""45 minutes per session for 4 weeks"", ""frequency"": ""3 practice sessions per week"", ""risk_code"": ""prior_grade_gap""}, {""action"": ""Set a short advisor-family progress update and agree on one weekly support task."", ""reason"": ""Support-channel risks are best addressed through coordination, not extra assignments alone."", ""duration"": ""10-15 minutes for 4 weeks"", ""frequency"": ""1 update per week"", ""risk_code"": ""support_gap""}]}",
